school,faculty,fields
uclouvain,"Faculté de médecine et médecine dentaire",Medecine & Health
uclouvain,"Faculté de pharmacie et des sciences biomédicales",Pharmacy
uclouvain,"Faculté de santé publique",Medecine & Health
uclouvain,"Faculté des sciences de la motricité",Medecine & Health
uclouvain,"Ecole Polytechnique de Louvain",Engineering
uclouvain,"Faculté d'architecture, d'ingénierie architecturale, d'urbanisme",Architecture
uclouvain,"Faculté des bioingénieurs",Bio-Engineering
uclouvain,"Faculté des sciences",Veterinary;Science
uclouvain,"Faculté de droit et de criminologie",Law & Criminology
uclouvain,"Faculté de philosophie, arts et lettres",Philosophy;Letters;Arts
uclouvain,"Faculté de théologie",Theology
uclouvain,"Faculté des sciences économiques, sociales, politiques et de communication",Sociology;Political Sciences;Economy
uclouvain,"Louvain School of Management",Economy;Management
uclouvain,"Faculté de psychologie et des sciences de l'éducation",Psychology;Pedagogy
ulb,"Faculté de Philosophie et Sciences sociales",Philosophy;Sociology
ulb,"Faculté de Lettres, Traduction et Communication",Letters
ulb,"Faculté de Droit et de Criminologie",Law & Criminology
ulb,"Solvay Brussels School of Economics and Management",Economy;Management
ulb,"Faculté des Sciences psychologiques et de l'Éducation",Psychology;Pedagogy
ulb,"Faculté d'Architecture La Cambre Horta",Architecture
ulb,"Faculté des Sciences",Science
ulb,"École polytechnique de Bruxelles",Engineering
ulb,"Bruface",Engineering
ulb,"Faculté de Médecine",Medecine & Health
ulb,"École de Santé publique",Medecine & Health
ulb,"Faculté de Pharmacie",Pharmacy
ulb,"Faculté des Sciences de la motricité",Medecine & Health
ulb,"Ecole de Traduction et Interprétation ISTI-Coremans",Letters
ulb,"Ecole Interfacultaire de Bioingénieurs",Bio-Engineering
ulb,"Pole Santé",Medecine & Health
ulb,"Institut d'Études européennes",Political Sciences
ulb,"Centre de Formation continue en Sciences humaines et sociales",Sociology
ulb,"Institut des Sciences et Industries du Vivant et de l'Environnement",Bio-Engineering;Science
uliege,"Faculté d'Architecture",Architecture
uliege,"Faculté de Droit, Science politique et Criminologie",Law & Criminology;Political Sciences
uliege,"Gembloux Agro-Bio Tech",Bio-Engineering
uliege,"HEC Liège - Ecole de Gestion",Economy;Management
uliege,"Faculté de Médecine",Medecine & Health
uliege,"Faculté de Médecine Vétérinaire",Veterinary
uliege,"Faculté de Philosophie et Lettres",Philosophy;Letters
uliege,"Faculté de Psychologie, Logopédie et Sciences de l'Education",Psychology;Pedagogy
uliege,"Faculté des Sciences",Science
uliege,"Faculté des Sciences Appliquées",Engineering
uliege,"Faculté des Sciences Sociales",Sociology
unamur,"Faculté de droit",Law & Criminology
unamur,"Faculté d'informatique",Engineering
unamur,"Faculté de médecine",Medecine & Health
unamur,"Faculté de philosophie et lettres",Philosophy;Letters
unamur,"Faculté des sciences",Science
unamur,"Faculté des sciences économiques, sociales et de gestion",Sociology;Economy;Management
unamur,"Département éducation et technologie",Pedagogy
unamur,"Université de Namur",Other
umons,"Faculté d'Architecture et d'Urbanisme",Architecture
umons,"Faculté de Médecine et de Pharmacie",Medecine & Health;Pharmacy
umons,"Faculté Polytechnique",Engineering
umons,"Faculté de Psychologie et des Sciences de l'Education",Psychology;Pedagogy
umons,"Faculté des Sciences",Science
umons,"Faculté de Traduction et d'Interprétation - Ecole d'Interprètes Internationaux",Letters
umons,"Faculté Warocqué d'Economie et de Gestion",Economy;Management
umons,"Ecole de Droit",Law & Criminology
umons,"Ecole de Formation des Enseignants",Pedagogy
umons,"Ecole des Sciences Humaines et Sociales",Sociology
umons,"Institut de Recherche en Sciences et Technologies du Langage",Letters
uslb,"Faculté de philosophie, lettres et sciences humaines",Philosophy;Letters;Sociology
uslb,"Faculté de traduction et interprétation Marie Haps",Letters
uslb,"Faculté des sciences économiques, sociales, politiques et de la communication",Sociology;Political Sciences;Economy
uslb,"Faculté de droit",Law & Criminology
uslb,"Institut d’études européennes",Political Sciences
kuleuven,"Faculteit Theologie en Religiewetenschappen",Theology
kuleuven,"Bijzondere Faculteit Kerkelijk Recht",Theology
kuleuven,"Hoger Instituut voor Wijsbegeerte",Philosophy
kuleuven,"Faculteit Rechtsgeleerdheid",Law & Criminology
kuleuven,"Faculteit Economie en Bedrijfswetenschappen",Economy;Management
kuleuven,"Faculteit Sociale Wetenschappen",Sociology
kuleuven,"Faculteit Letteren",Letters
kuleuven,"Faculteit Psychologie en Pedagogische Wetenschappen",Psychology;Pedagogy
kuleuven,"Faculteit Wetenschappen",Science
kuleuven,"Faculteit Ingenieurswetenschappen",Engineering
kuleuven,"Faculteit Industriële Ingenieurswetenschappen",Engineering
kuleuven,"Faculteit Bio-ingenieurswetenschappen",Bio-Engineering
kuleuven,"Faculteit Architectuur",Architecture
kuleuven,"Faculteit Geneeskunde",Medecine & Health
kuleuven,"Faculteit Farmaceutische Wetenschappen",Pharmacy
kuleuven,"Faculteit Bewegings- en Revalidatiewetenschappen",Medecine & Health
kuleuven,"Geassocieerde Faculteit Kunsten",Arts
ugent,"Faculteit Letteren en Wijsbegeerte",Philosophy;Letters;Arts
ugent,"Faculteit Recht en Criminologie",Law & Criminology
ugent,"Faculty of Law and Criminology",Law & Criminology
ugent,"Faculteit Wetenschappen",Science
ugent,"Faculty of Sciences",Science
ugent,"Faculteit Geneeskunde en Gezondheidswetenschappen",Medecine & Health
ugent,"Faculty of Medicine and Health Sciences",Medecine & Health
ugent,"Faculteit Ingenieurswetenschappen en Architectuur",Architecture;Engineering
ugent,"Faculty of Engineering and Architecture",Architecture;Engineering
ugent,"Faculteit Economie en Bedrijfskunde",Economy;Management
ugent,"Faculty of Economics and Business Administration",Economy;Management
ugent,"Faculteit Diergeneeskunde",Veterinary
ugent,"Faculty of Veterinary Medicine",Veterinary
ugent,"Faculteit Psychologie en Pedagogische Wetenschappen",Psychology;Pedagogy
ugent,"Faculty of Psychology and Educational Sciences",Psychology;Pedagogy
ugent,"Faculteit Bio-ingenieurswetenschappen",Bio-Engineering
ugent,"Faculty of Bioscience Engineering",Bio-Engineering
ugent,"Faculteit Farmaceutische Wetenschappen",Pharmacy
ugent,"Faculty of Pharmaceutical Sciences",Pharmacy
ugent,"Faculteit Politieke en Sociale Wetenschappen",Sociology;Political Sciences
ugent,"Faculty of Political and Social Sciences",Sociology;Political Sciences
ugent,"Faculty of Arts and Philosophy",Philosophy;Letters;Arts
ugent,"Research Department",Other
uantwerpen,"Faculteit Bedrijfswetenschappen en Economie",Economy;Management
uantwerpen,"Faculty of Business and Economics",Economy;Management
uantwerpen,"Faculteit Farmaceutische, Biomedische en Diergeneeskundige Wetenschappen",Pharmacy;Veterinary
uantwerpen,"Faculty of Pharmaceutical, Biomedical and Veterinary Science",Pharmacy;Veterinary
uantwerpen,"Faculteit Geneeskunde en Gezondheidswetenschappen",Medecine & Health
uantwerpen,"Faculty of Medicine and Health Sciences",Medecine & Health
uantwerpen,"Faculteit Letteren en Wijsbegeerte",Philosophy;Letters
uantwerpen,"Faculteit Ontwerpwetenschappen",Architecture
uantwerpen,"Faculteit Rechten",Law & Criminology
uantwerpen,"Faculty of Law",Law & Criminology
uantwerpen,"Faculteit Sociale Wetenschappen",Sociology
uantwerpen,"Faculty of Social Sciences",Sociology
uantwerpen,"Faculteit Toegepaste Ingenieurswetenschappen",Engineering
uantwerpen,"Faculteit Wetenschappen",Science
uantwerpen,"Faculty of Science",Science
uantwerpen,"Instituut voor Ontwikkelingsbeleid",Political Sciences
uantwerpen,"Institute of Development Policy",Political Sciences
uantwerpen,"Instituut voor Milieu & Duurzame Ontwikkeling",Other
uantwerpen,"Instituut voor Milieu en Duurzame Ontwikkeling",Other
uantwerpen,"Instituut voor Milieu en Duurzame Ontwikkeling (IMDO)",Other
uantwerpen,"Institute of Environment and Sustainable Development",Other
uantwerpen,"Antwerp School of Education",Pedagogy
uantwerpen,"Institute of Development Policy (IOB)",Political Sciences
uantwerpen,"Centrum voor Andragogiek",Pedagogy
uantwerpen,"Centrum Nascholing Onderwijs",Pedagogy
uantwerpen,"Linguapolis",Letters
uantwerpen,"Onderzoeksgroep Instituties en Meerlagige Politiek",Political Sciences
vub,"Faculteit Recht en Criminologie",Law & Criminology
vub,"Faculty of Law and Criminology",Law & Criminology
vub,"Faculteit Sociale Wetensch & SolvayBusinessSchool",Sociology;Economy;Management
vub,"Faculteit Economische & Sociale Wetensch & SBS",Sociology;Economy;Management
vub,"Faculty of Economic & Social Sciences & Solvay BS",Sociology;Economy;Management
vub,"Faculty of Social Sciences & SolvayBusinessSchool",Sociology;Economy;Management
vub,"Faculteit Psychologie & Educatiewetenschappen",Psychology;Pedagogy
vub,"Faculteit Psychologie en Educatiewetenschappen",Psychology;Pedagogy
vub,"Faculty of Psychology and Educational Sciences",Psychology;Pedagogy
vub,"Multidisciplinair Instituut Lerarenopleiding",Pedagogy
vub,"Interfacultair Departement Lerarenopleiding",Pedagogy
vub,"Faculteit Letteren en Wijsbegeerte",Philosophy;Letters;Arts
vub,"Faculty of Arts and Philosophy",Philosophy;Letters;Arts
vub,"Faculteit Wetenschappen en Bio-ingenieurswetensch",Bio-Engineering;Science
vub,"Faculty of Sciences and Bioengineering Sciences",Bio-Engineering;Science
vub,"Faculty of Science and Bioengineering Sciences",Bio-Engineering;Science
vub,"Faculty of Science and Bio-engineering Sciences",Bio-Engineering;Science
vub,"Faculteit Geneeskunde en Farmacie",Medecine & Health;Pharmacy
vub,"Faculty of Medicine and Pharmacy",Medecine & Health;Pharmacy
vub,"Faculteit Ingenieurswetenschappen",Engineering
vub,"Faculty of Engineering",Engineering
